random_id,motivacion,conectado,sexojefe,edadjefe,jefesabeleer,jefesabeescribir,pdiasfueaescuela
1024,0,1,1,48,1,1,
1025,0,1,1,39,0,0,14.285715
1026,1,1,1,47,1,1,
1027,0,0,1,66,0,0,
1028,0,0,1,31,1,1,
1029,1,1,1,45,0,0,
1030,1,1,1,30,1,1,
1031,1,1,1,37,1,1,14.285715
1033,0,0,1,52,1,1,
1034,0,0,2,66,0,0,
1035,1,0,1,63,1,1,28.57143
